601; Eichmann Stephan; LL.M. Eur., Rechtsanwalt, Stadtratsmitglied, Poppenreuth; 1977; 
Eichmann Stephan; LL.M. Eur., Rechtsanwalt, Stadtratsmitglied, Poppenreuth; 1977; 
Eichmann Stephan; LL.M. Eur., Rechtsanwalt, Stadtratsmitglied, Poppenreuth; 1977;
602; Müller-Kittel Kerstin; Dipl.-Verww. (FH), Schulleiterin, Vach; 1967; 
Müller-Kittel Kerstin; Dipl.-Verww. (FH), Schulleiterin, Vach; 1967; 
Müller-Kittel Kerstin; Dipl.-Verww. (FH), Schulleiterin, Vach; 1967;
603; Bayer Daniel; B.Sc., Student der Informatik; 1996;
Bayer Daniel; B.Sc., Student der Informatik; 1996; 
Bayer Daniel; B.Sc., Student der Informatik; 1996;
604; Mathes Johanna; M.Sc., Gesundheitsökonomin; 1988; 
Mathes Johanna; M.Sc., Gesundheitsökonomin; 1988;
Mathes Johanna; M.Sc., Gesundheitsökonomin; 1988;
605; Fleischer Franz; Dipl.-Betriebswirt (FH), selbständig, Unterfarrnbach; 1954; 
Fleischer Franz; Dipl.-Betriebswirt (FH), selbständig, Unterfarrnbach; 1954; 
Fleischer Franz; Dipl.-Betriebswirt (FH), selbständig, Unterfarrnbach; 1954;
606; Zöllick Claudia; Volljuristin im öffentl. Dienst, Poppenreuth; 1980; 
Zöllick Claudia; Volljuristin im öffentl. Dienst, Poppenreuth; 1980; 
Zöllick Claudia; Volljuristin im öffentl. Dienst, Poppenreuth; 1980;
607; Eggen Fabian; B.A., Angestellter in Steuerkanzlei; 1993; 
Eggen Fabian; B.A., Angestellter in Steuerkanzlei; 1993;
608; Vogel Karin; Kaufm. Angestellte, Ronhof; 1968; 
Vogel Karin; Kaufm. Angestellte, Ronhof; 1968;
609; Jungkunz Robert; Kaufm. Angestellter; 1965; 
Jungkunz Robert; Kaufm. Angestellter; 1965;
610; Jurkiewicz Bartosz; Student International Business; 1996; 
Jurkiewicz Bartosz; Student International Business; 1996;
611; Kulhei Edmond; Kfz-Meister, Poppenreuth; 1953; 
Kulhei Edmond; Kfz-Meister, Poppenreuth; 1953;
612; Häusinger Timo; Student; 1999; 
Häusinger Timo; Student; 1999;
613; Dr. Raschke Welf; Dr. med., Arzt; 1940; 
Dr. Raschke Welf; Dr. med., Arzt; 1940;
614; Knapp Dieter; Dipl.-Volksw., Rentner, Stadeln; 1939; 
Knapp Dieter; Dipl.-Volksw., Rentner, Stadeln; 1939;
615; Marchl Theresia; Rentnerin, Unterfarrnbach; 1955; 
Marchl Theresia; Rentnerin, Unterfarrnbach; 1955;
616; Richter Daniel; Maler- und Lackierermeister, Poppenreuth; 1981; 
Richter Daniel; Maler- und Lackierermeister, Poppenreuth; 1981;
617; Mederer Johannes; Fachinformatiker Anwendungsentwicklung; 1992; 
Mederer Johannes; Fachinformatiker Anwendungsentwicklung; 1992;
618; Seßner Benjamin; Kommunikationswirt, Vach; 1986; 
Seßner Benjamin; Kommunikationswirt, Vach; 1986;
619; Kulhei Elfriede; Buchhalterin, Poppenreuth; 1952; 
Kulhei Elfriede; Buchhalterin, Poppenreuth; 1952;
620; Kulhei Christian; Fachinformatiker, Poppenreuth; 1984; 
Kulhei Christian; Fachinformatiker, Poppenreuth; 1984;
621; Eimer Norbert; Dipl.-Ing., Ingenieur, Vach; 1940; 
Eimer Norbert; Dipl.-Ing., Ingenieur, Vach; 1940;
622; Witzsch Dieter; Drogist; 1934;
623; Janke Harriet; Konrektorin; 1974;
